festivaldepoesieaucentreamericain	nouveau	name	"Festival de poésie au Centre américain"											"Festival de poésie au Centre américain"								t10010239-1981-05-CR.xml		
centreamericain	nouveau	orgName	"Centre américain"											"Centre américain"								t10010239-1981-05-CR.xml		
articledunewyorktimes	nouveau	title	"Article du New York Times"											"Article du New York Times"								t10010239-1981-05-CR.xml		
losangemagique	nouveau	term	"losange magique"											"losange magique"								t10010239-1981-05-CR.xml		
expositionpourbourges	nouveau	orgName	"exposition pour Bourges "											"exposition pour Bourges "								t10010239-1981-05-CR.xml		
prosodie	nouveau	term	prosodie											prosodie								t10010239-1981-05-OJ.xml		
preprimtech	nouveau	name	Preprimtech											Preprimtech								t10010239-1981-05-OJ.xml		
rogers	nouveau	persName	"Roger S."											"Roger S."								t10010239-1981-05-OJ.xml		
festivaldepoesieamericancenter	nouveau	name	"Festival de poésie American Center"											"Festival de poésie American Center"								t10010239-1981-05-OJ.xml		
sonate	nouveau	term	sonate											sonate								t10010239-1981-05-OJ.xml		
rs	nouveau	persName	RS											RS								t10010239-1981-05-OJ.xml		
newyorktimes	nouveau	orgName	"New York Times"											"New York Times"								t10010239-1981-05-OJ.xml		
contraintes	nouveau	term	Contraintes											Contraintes								t10010239-1981-05-OJ.xml		
absentdemarque	nouveau	term	"absent de marque"											"absent de marque"								t10010245-1981-12-OJ.xml		
giordanobruno	nouveau	persName	"Giordano Bruno"											"Giordano Bruno"								t10010245-1981-12-OJ.xml		
romanpolicierplagie	nouveau	term	"Roman policier plagié"											"Roman policier plagié"								t10010245-1981-12-OJ.xml		
nantes	nouveau	name	Nantes											Nantes								t10010245-1981-12-OJ.xml		
atlas	nouveau	title	Atlas											Atlas								t10010245-1981-12-OJ.xml		
alamo	nouveau	orgName	Alamo											Alamo								"t10010245-1981-12-OJ.xml
t10010246-1982-01-CR.xml
t10010247-1982-02-CR.xml"		
aeiou	nouveau	term	AEIOU											AEIOU								t10010245-1981-12-OJ.xml		
jacquescharpentreau	nouveau	persName	"Jacques Charpentreau"											"Jacques Charpentreau"								t10010245-1981-12-OJ.xml		
lacosmogonie	nouveau	title	"La cosmogonie"											"La cosmogonie"								t10010245-1981-12-OJ.xml		
dictionnairedelinformatique	nouveau	term	"dictionnaire de l’informatique"											"dictionnaire de l’informatique"								t10010245-1981-12-OJ.xml		
pfpb	nouveau	persName	"PF PB"											"PF PB"								t10010245-1981-12-OJ.xml		
jeudecartes	nouveau	term	"jeu de cartes"											"jeu de cartes"								t10010245-1981-12-OJ.xml		
chezmartineetpf	nouveau	placeName	"chez Martine et PF"											"chez Martine et PF"								t10010246-1982-01-CR.xml		
palindromesbilingues	nouveau	term	"palindromes bilingues"											"palindromes bilingues"								t10010246-1982-01-CR.xml		
palindromesbilinguesphonetiquesfrancoallemands	nouveau	term	"palindromes bilingues phonétiques franco-allemands"											"palindromes bilingues phonétiques franco-allemands"								t10010246-1982-01-CR.xml		
madonna	nouveau	persName	Madonna											Madonna								t10010246-1982-01-CR.xml		
otto	nouveau	persName	Otto											Otto								t10010246-1982-01-CR.xml		
meinkampf	nouveau	title	"Mein Kampf"											"Mein Kampf"								t10010246-1982-01-CR.xml		
jeaneffel	nouveau	persName	"Jean Effel"											"Jean Effel"								t10010246-1982-01-CR.xml		
doublerubandemoebiusavecentrelacement	nouveau	term	"double ruban de Moebius avec entrelacement"											"double ruban de Moebius avec entrelacement"								t10010246-1982-01-CR.xml		
fauxrubandesanimauxpasplats	nouveau	term	"faux ruban des animaux pas plats"											"faux ruban des animaux pas plats"								t10010246-1982-01-CR.xml		
s2	nouveau	term	S+2											S+2								t10010246-1982-01-CR.xml		
clb	nouveau	persName	"Cl B"											"Cl B"								t10010246-1982-01-CR.xml		
decimalesdeπ	nouveau	term	"décimales de π"											"décimales de π"								t10010246-1982-01-CR.xml		
metacontraintes	nouveau	term	métacontraintes											métacontraintes								"t10010246-1982-01-CR.xml
t10010246-1982-01-CR.xml"		
leseminaire	nouveau	name	"Le séminaire "											"Le séminaire "								t10010246-1982-01-CR.xml		
de	nouveau	name	" de "											" de "								t10010246-1982-01-CR.xml		
mmedelon	nouveau	persName	"Mme Delon"											"Mme Delon"								t10010246-1982-01-CR.xml		
herecomethetigers	nouveau	title	"Here come the tigers"											"Here come the tigers"								t10010246-1982-01-CR.xml		
petitecosmogonieportative	nouveau	title	"Petite cosmogonie portative"											"Petite cosmogonie portative"								t10010246-1982-01-CR.xml		
projettosca	nouveau	orgName	"projet TOSCA"											"projet TOSCA"								t10010246-1982-01-CR.xml		
exposealenssurloulipoetordinateurs	nouveau	name	"exposé à l’ENS sur l’oulipo et ordinateurs"											"exposé à l’ENS sur l’oulipo et ordinateurs"								t10010246-1982-01-CR.xml		
amiensstage	nouveau	name	"Amiens : stage"											"Amiens : stage"								t10010246-1982-01-CR.xml		
millefeuillesjourneeoulipo	nouveau	name	"Millefeuilles : journée oulipo"											"Millefeuilles : journée oulipo"								t10010246-1982-01-CR.xml		
australievisitedeloulipo	nouveau	name	"Australie visite de l’oulipo"											"Australie visite de l’oulipo"								t10010246-1982-01-CR.xml		
colloquesurlacontrainte	nouveau	name	"colloque sur la contrainte"											"colloque sur la contrainte"								t10010246-1982-01-CR.xml		
18braffort	nouveau	title	"18 Braffort"											"18 Braffort"								t10010246-1982-01-CR.xml		
19perec	nouveau	title	"19 Perec"											"19 Perec"								t10010246-1982-01-CR.xml		
20calvino	nouveau	title	"20 (Calvino"											"20 (Calvino"								t10010246-1982-01-CR.xml		
palindromespossiblesenchinois	nouveau	term	"palindromes possibles en chinois"											"palindromes possibles en chinois"								t10010246-1982-01-CR.xml		
paul	nouveau	persName	Paul											Paul								"t10010246-1982-01-CV.xml
t10010308-1987-09-CV.xml"		
chezmb	nouveau	placeName	"chez MB"											"chez MB"								t10010247-1982-02-CR.xml		
arriveepalindromique	nouveau	term	"arrivée palindromique"											"arrivée palindromique"								t10010247-1982-02-CR.xml		
stagedamiens	nouveau	name	"stage d’Amiens"											"stage d’Amiens"								"t10010247-1982-02-CR.xml
t10010248-1982-03-CR.xml
t10010249-1982-04-CR.xml"		
beton	nouveau	persName	Beton											Beton								t10010247-1982-02-CR.xml		
lecontedumouton	nouveau	title	"Le conte du mouton"											"Le conte du mouton"								t10010247-1982-02-CR.xml		
exposeaamiens	nouveau	name	"exposé à Amiens"											"exposé à Amiens"								t10010247-1982-02-CR.xml		
sgdl	nouveau	orgName	SGDL											SGDL								t10010247-1982-02-CR.xml		
zoomemonosyllabique	nouveau	title	"Zoo ME monosyllabique"											"Zoo ME monosyllabique"								t10010247-1982-02-CR.xml		
wozniak	nouveau	persName	Wozniak											Wozniak								t10010247-1982-02-CR.xml		
isabellebenabou	nouveau	persName	"Isabelle BENABOU"											"Isabelle BENABOU"								t10010247-1982-02-CV.xml		
chezisabelleetmb	nouveau	placeName	"chez Isabelle et MB"											"chez Isabelle et MB"								t10010248-1982-03-CR.xml		
pol	nouveau	orgName	POL											POL								"t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml"		
ouvrescompletes	nouveau	title	"œuvres complètes"											"œuvres complètes"								t10010248-1982-03-CR.xml		
nadeau	nouveau	persName	Nadeau											Nadeau								t10010248-1982-03-CR.xml		
georges	nouveau	persName	Georges											Georges								"t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml
t10010248-1982-03-CR.xml
t10010249-1982-04-CR.xml"		
lili	nouveau	persName	Lili											Lili								t10010248-1982-03-CR.xml		
borisvian	nouveau	persName	"Boris Vian"											"Boris Vian"								t10010248-1982-03-CR.xml		
monde	nouveau	title	Monde											Monde								t10010248-1982-03-CR.xml		
