"id"	"forme"	"label"
"deuxiememanifeste"	"Deuxième manifeste"	"forme préférée"
"deuxiememanifeste"	"IIe manifeste"	"forme alternative"
"deuxiememanifeste"	"Manifeste"	"forme alternative"
"dialabuzzword"	"Dial a buzzword"	"forme préférée"
"dialogue"	"Dialogue"	"forme alternative"
"dialogue"	"Dialogue [sur l’Oulipo]"	"forme préférée"
"dictionnairedelinformatique"	"Dictionnaire de l’informatique"	"forme préférée"
"dictionnairedelinformatique"	"Dictionnaire de l’informatique"	"forme alternative"
"dictionnairedesideesrecues"	"Dictionnaire des idées reçues"	"forme préférée"
"dictionnairedesinjures"	"Dictionnaire des injures"	"forme préférée"
"dictionnairedesmathematiques"	"Dictionnaire de mathématiques"	"forme alternative"
"dictionnairedesmathematiques"	"Dictionnaire des mathématiques"	"forme préférée"
"dictionnairedesmathematiques"	"Dictionnaire mathématiques"	"forme alternative"
"dictionnairedesmotsretrouves"	"Dictionnaire des mots retrouvés"	"forme préférée"
"dictionnairedesmotsretrouves"	"Dictionnaire des mots retrouvés"	"forme alternative"
"dictionnairedesonomatopees"	"Dictionnaire des onomatopées"	"forme préférée"
"dictionnairedesonomatopees"	"Dictionnaire des onomatopées"	"forme alternative"
"dictionnairedespersonnages"	"Dictionnaire des personnages"	"forme préférée"
"dictionnairedesrimessinges"	"Dictionnaire des rimes singes"	"forme préférée"
"dictionnairedesynonymes"	"Dictionnaire de synonymes"	"forme préférée"
"dictionnairedesynonymes"	"Dictionnaire des synonymes de Larousse"	"forme alternative"
"dictionnairedufrancaisepele"	"Dictionnaire du français épelé"	"forme préférée"
"dictionnairedujapon"	"Dictionnaire du Japon"	"forme préférée"
"dictionnairehoudin"	"Dictionnaire Houdin"	"forme préférée"
"dictionnairelaffont"	"Dictionnaire Laffont"	"forme préférée"
"dictionnairelarousse"	"Dictionnaire Larousse"	"forme préférée"
"dictionnairerobert"	"Dictionnaire Robert"	"forme préférée"
"dictionnairesdemathews"	"Dictionnaires de Mathews"	"forme préférée"
"dictionnaireseghers"	"Dictionnaire Seghers"	"forme préférée"
"differenceentrelouliposemanthematiqueetlesexplicationsdetextesdepoetique"	"Différence entre l’oulipo sémanthématique et les explications de textes de « poétique »"	"forme alternative"
"differenceentrelouliposemanthematiqueetlesexplicationsdetextesdepoetique"	"L’Oulipo sémanthématique (titre abr.) "	"forme préférée"
"dimanchedelavie"	"Dimanche de la vie"	"forme alternative"
"diogene"	"Diogène"	"forme préférée"
"disparition"	"Disparition"	"forme alternative"
"disparition"	"Disparition"	"forme alternative"
"disparition"	"La Disparition"	"forme préférée"
"distiquesmonosyllabiques"	"Distiques monosyllabiques"	"forme préférée"
"domainesthematiques"	"Domaines thématiques"	"forme préférée"
"domesticcontentment"	"Domestic contentment"	"forme préférée"
"dossier"	"Dossier"	"forme préférée"
"dossier"	"Dossier"	"forme alternative"
"dossier17"	"Dossier17 + vervier"	"forme alternative"
"dossiercalembour"	"Dossier calembour"	"forme préférée"
"dossiercape"	"Dossier cape"	"forme alternative"
"dossiercape"	"Dossier Cape "	"forme préférée"
"dossiercape"	"Dossier cape/bérès"	"forme alternative"
"dossiercape"	"Dossier ex-cape"	"forme alternative"
"dossiercape"	"Dossier tarn/cape"	"forme alternative"
"dossierducollege"	"Dossier 17"	"forme alternative"
"dossierducollege"	"Dossier de l’Oulipo"	"forme alternative"
"dossierducollege"	"Dossier du Collège"	"forme alternative"
"dossierducollege"	"Dossier du Collège de Pataphysique sur l’Oulipo (n°17)"	"forme préférée"
"dossierducollege"	"Dossier la littérature potentielle"	"forme alternative"
"dossierducollege"	"Dossier oulipien"	"forme alternative"
"dossierducollege"	"Dossier oulipien du collège"	"forme alternative"
"dossierducollege"	"Dossier oulipo"	"forme alternative"
"dossierducollege"	"Dossiers du collège"	"forme alternative"
"dossierducollege"	"Dossiers oulipo"	"forme alternative"
"droledebaroque"	"Drôle de baroque"	"forme préférée"
"droledebaroque"	"Drôle de baroque"	"forme alternative"
"ducheneetleguay"	"Duchêne et Leguay"	"forme alternative"
"ducheneetleguay"	"Petite fabrique de littérature (Duchesne, Legay)"	"forme préférée"
"duclinamen"	"Du clinamen"	"forme préférée"
"dureveaureveil"	"Du Rêve au réveil"	"forme préférée"
"e_"	"∈"	"forme préférée"
"ecclesiaste"	"Ecclésiaste"	"forme alternative"
"ecclesiaste"	"L’Ecclésiaste"	"forme préférée"
"echantillons"	"Echantillons"	"forme préférée"
"echodessavanes"	"Echo des savanes"	"forme alternative"
"echodessavanes"	"L’Echo des savanes"	"forme préférée"
"eclipse"	"Eclipse"	"forme préférée"
"economist"	"Economist"	"forme alternative"
"economist"	"The Economist"	"forme préférée"
"ecrire"	"Ecrire"	"forme alternative"
"ecrire"	"Écrire"	"forme préférée"
"ecriremodedemploi"	"Ecrire : mode d’emploi"	"forme préférée"
"editueurs"	"Edi…tueurs"	"forme préférée"
"editueurs"	"Edi...tueurs"	"forme alternative"
"elementsdeschematisation"	"Éléments de schématisation"	"forme préférée"
"elementsdesyntaxestructurale"	"Eléments de syntaxe structurale"	"forme préférée"
"elementspouruncalculdusens"	"Eléments pour un calcul du sens"	"forme préférée"
"ellisisland"	"Ellis Island"	"forme préférée"
"encyclopediauniversalis"	"Encyclopédia universalis"	"forme alternative"
"encyclopediauniversalis"	"Encyclopédie universalis"	"forme alternative"
"encyclopediauniversalis"	"L’Encyclopedia universalis"	"forme préférée"
"encyclopediedelapleiade"	"Encyclopédie"	"forme alternative"
"encyclopediedelapleiade"	"Encyclopédie de la Pléiade"	"forme préférée"
"encyclopedieeinaudi"	"Encyclopédie einaudi"	"forme préférée"
"enigmatika4"	"Enigmatika"	"forme préférée"
"enigmatika4"	"Enigmatika 4"	"forme alternative"
"entreneigeetglace"	"Entre neige et glace"	"forme préférée"
"entreneigeetglace"	"Entre neige et glace"	"forme alternative"
"entretiens"	"Entretiens"	"forme préférée"
"epigrammeii"	"Epigramme"	"forme préférée"
"epigrammeii"	"Epigramme ii"	"forme alternative"
"epouvantail"	"Épouvantail"	"forme préférée"
"escape"	"Escape"	"forme préférée"
"essaisdelitteraturevraimentgenerale"	"Essais de littérature (vraiment) générale"	"forme préférée"
"essaisdequeneau"	"Essais de Queneau"	"forme préférée"
"esthetique"	"Esthétique"	"forme préférée"
"etc"	"Etc"	"forme préférée"
"excape"	"Ex-cape"	"forme alternative"
"excape"	"Excape"	"forme alternative"
"excape"	"Excape"	"forme alternative"
"exercicedeblanchimentdelarime"	"Exercice de blanchiment de la rime"	"forme préférée"
"exercicedestyle"	"Exercice de style"	"forme alternative"
"exercicesdestyle"	"Exercice de style"	"forme alternative"
"exercicesdestyle"	"Exercices"	"forme alternative"
"exercicesdestyle"	"Exercices de style"	"forme préférée"
"exercicesdestyle"	"Les exercices de style"	"forme alternative"
"exercicesgraphologiques"	"Exercices graphologiques"	"forme préférée"
"exorcismosdesestilo"	"Exorcismos des esti(l)o"	"forme préférée"
"express"	"Express"	"forme alternative"
"express"	"L’Express"	"forme préférée"
"exprimass"	"Exprimass"	"forme alternative"
"exprimass"	"L’Exprimass"	"forme préférée"
"fables"	"Fables"	"forme préférée"
"famillefenouillard"	"Famille Fenouillard"	"forme préférée"
"fanfreluchesantidotees"	"Fanfreluches antidotées"	"forme préférée"
"fantaisie"	"Fantaisie"	"forme préférée"
"fantaisiesversificatoires"	"Fantaisies versificatoires"	"forme préférée"
"fantasiamathematica"	"Fantasia mathématica"	"forme préférée"
"fantomas"	"Fantômas"	"forme préférée"
"fantomesetfarfafouilles"	"Fantômes et farfafouilles"	"forme préférée"
"fascismeetoulipo"	"Fascisme et Oulipo"	"forme préférée"
"faust"	"Faust"	"forme préférée"
"fermeturepourtravaux"	"Fermeture pour travaux"	"forme préférée"
"fiction"	"Fiction"	"forme préférée"
"figaro"	"Figaro"	"forme préférée"
"finneganswake"	"Finnegan’s wake"	"forme préférée"
"fleurinverse"	"Fleur inverse"	"forme préférée"
"fleursdumal"	"Fleurs du mal"	"forme alternative"
