"id"	"forme"	"label"
"instituthenripoincare"	"IHP"	"forme alternative"
"imec"	"IMEC"	"forme préférée"
"imprimerieunion"	"Imprimerie Union"	"forme préférée"
"institutdelaudiovisuel"	"Institut de l’Audiovisuel (INA)"	"forme préférée"
"institutdelaudiovisuel"	"INA"	"forme alternative"
"inalco"	"INALCO"	"forme préférée"
"institutbpascal"	"Institut B. Pascal"	"forme préférée"
"institutdelapotentialiteuniverselle"	"Institut de la potentialité universelle (I.P.U.)"	"forme préférée"
"institutdelapotentialiteuniverselle"	"Institut de la potentialité universelle"	"forme alternative"
"institutdelaudiovisuel"	"Institut de l’Audiovisuel"	"forme alternative"
"institutdepathologiecellulaire"	"Institut de Pathologie Cellulaire"	"forme préférée"
"instituteforadvancedstudies"	"Institute for Advanced Studies"	"forme préférée"
"instituteforadvancedstudies"	"Institute of Advanced Studies"	"forme alternative"
"instituthenripoincare"	"Institut Henri Poincaré (IHP)"	"forme préférée"
"instituthenripoincare"	"Institut Henri Poincaré"	"forme alternative"
"instituthenripoincare"	"Institut H. Poincaré"	"forme alternative"
"institutinternationalduneologisme"	"Institut International du Néologisme"	"forme préférée"
"instituthenripoincare"	"Institut Poincaré"	"forme alternative"
"invisibleseattle"	"Invisible Seattle"	"forme alternative"
"institutdelapotentialiteuniverselle"	"I.P.U"	"forme alternative"
"institutdelapotentialiteuniverselle"	"I.P.U."	"forme alternative"
"ircam"	"IRCAM"	"forme préférée"
"johnhopkinsuniversity"	"John Hopkins University"	"forme préférée"
"jpkimprimeur"	"JPK (imprimeur)"	"forme préférée"
"klincksieck"	"Klincksieck"	"forme préférée"
"labibliothequeduhavre"	"Bibliothèque du Havre"	"forme préférée"
"labibliothequeduhavre"	"La Bibliothèque du Havre"	"forme alternative"
"ladecouverte"	"La Découverte"	"forme préférée"
"lamaisondesecrivains"	"La Maison des Ecrivains"	"forme préférée"
"lamaisondesmots"	"La Maison des mots"	"forme préférée"
"languageandstyle"	"Language and style"	"forme préférée"
"nouvellerevuefrancaise"	"La NRF."	"forme alternative"
"lapleiade"	"La Pléiade"	"forme préférée"
"lapleiade"	"la Pléiade"	"forme alternative"
"laquinzaine"	"La Quinzaine"	"forme préférée"
"larcademie"	"L’Arcadémie"	"forme préférée"
"larepetition"	"La Répétition"	"forme préférée"
"larousse"	"Larousse"	"forme préférée"
"lattes"	"Lattès"	"forme préférée"
"lavillettemuseedessciencesetdestechniquesditmuseede"	"La Villette (Musée des Sciences et des Techniques)"	"forme préférée"
"collegedepataphysique"	"LE COLLEGE DE PATAPHYSIQUE"	"forme alternative"
"lemillefeuille"	"Le Millefeuille"	"forme préférée"
"leminotaure"	"Le Minotaure"	"forme préférée"
"leminotaure"	"Le Minotaure"	"forme alternative"
"lemonde"	"Le Monde"	"forme préférée"
"lemondedelamusique"	"Le Monde de la Musique"	"forme préférée"
