"id"	"forme"	"label"
"perecoulipoqueneau"	"Perec-Oulipo-Queneau"	"forme préférée"
"quinzaineinformatiqueetlitteratureapompidou"	"Pompidou"	"forme alternative"
"portcros"	"Port Cros"	"forme préférée"
"preprimtec"	"Preprimtec"	"forme préférée"
"preprimtec"	"Preprimtech"	"forme alternative"
"presentationbaruchcuny"	"Présentation Baruch CUNY"	"forme préférée"
"presentationdestravauxordinateur"	"Présentation des travaux ordinateur"	"forme préférée"
"presentationnouvelleaprogramme"	"Présentation Nouvelle à programme"	"forme préférée"
"prochainereunion"	"prochaine réunion"	"forme alternative"
"programmeivrydu5mai87"	"Programme Ivry du 5 Mai 87"	"forme préférée"
"queneauetlaville"	"Queneau et la ville"	"forme alternative"
"queneauetlaville"	"Queneau et la Ville"	"forme préférée"
"quinzaineinformatiqueetlitteratureapompidou"	"Quinzaine informatique et littérature à Pompidou"	"forme préférée"
"readhall"	"Read Hall"	"forme préférée"
"recitaldechansonssurdestextesderq"	"Récital de chansons sur des textes de RQ"	"forme alternative"
"recitaldechansonssurdestextesderq"	"Récital de chansons sur des textes de Raymond Queneau"	"forme préférée"
"reims"	"Reims (Queneau et le cinéma)"	"forme préférée"
"reims"	"Reims"	"forme alternative"
"rencontredelyon"	"Rencontre de Lyon"	"forme préférée"
"rencontresignature"	"Rencontre-signature"	"forme préférée"
"rencontresoulipo"	"Rencontres Oulipo"	"forme préférée"
"representationachatenay"	"Représentation à Chatenay"	"forme préférée"
"reuniondelhotelplazaathenee"	"Réunion de l'Hôtel Plaza-Athénée"	"forme préférée"
"reunionexceptionnelle"	"Réunion pour le Dossier Oulipo"	"forme préférée"
"reunionexceptionnelle"	"Réunion exceptionnelle"	"forme alternative"
"reunionexceptionnelle"	"Réunion facultative"	"forme alternative"
"reunionspeciale"	"Réunion spéciale"	"forme préférée"
"royaumont"	"Stage à Royaumont"	"forme préférée"
"royaumont"	"Royaumont"	"forme alternative"
"stagedesaintquentin"	"Saint-Quentin"	"forme alternative"
"salernofestivaldepoesie"	"Salerno Festival de Poésie"	"forme alternative"
"salernofestivaldepoesie"	"Festival de Poésie (Salerno)"	"forme préférée"
"salondelautomobile"	"Salon de l'Automobile"	"forme préférée"
"salondulivre"	"Salon du livre"	"forme préférée"
"salonoct89"	"Salon octobre 1989"	"forme préférée"
"salonoct89"	"Salon oct. 89"	"forme alternative"
"seancebeaubourg"	"Séance Beaubourg"	"forme préférée"
"seancedeloulipo"	"Séance de l'Oulipo"	"forme préférée"
"seanceoulipo"	"séance Oulipo"	"forme alternative"
"seanceoulipo"	"séance OULIPO"	"forme alternative"
"seanceoulipo"	"Séance Oulipo"	"forme préférée"
"seanceoulipodu23marsabeaubourg"	"Séance Oulipo du 23 mars à Beaubourg"	"forme préférée"
"seancexenakis"	"Séance Xénakis"	"forme préférée"
"semainearoyaumont"	"Semaine à Royaumont"	"forme préférée"
"semainedavignon"	"Semaine d'Avignon"	"forme alternative"
"semainedavignon"	"Semaine Oulipo à la Chartreuse de Villeneuve-lès-Avignon"	"forme alternative"
"semainedavignon"	"Stage à Avignon"	"forme alternative"
"semainedavignon"	"stage à Villeneuve"	"forme alternative"
"semainedavignon"	"Stage de Villeneuve-les-Avignon"	"forme préférée"
"semainedavignon"	"Stage Villeneuve"	"forme alternative"
"semainedavignon"	"Villeneuve"	"forme alternative"
"semainedavignon"	"Villeneuve Expo"	"forme alternative"
"semainedavignon"	"Stage de Villeneuve"	"forme alternative"
"semainedavignon"	"Villeneuve-lès-Avignon"	"forme alternative"
"semaineoulipo"	"semaine Oulipo"	"forme alternative"
"semaineoulipo"	"semaine OULIPO"	"forme alternative"
"semaineoulipo"	"Semaine Oulipo"	"forme préférée"
"semaineoulipoaroyaumont"	"Semaine Oulipo à Royaumont"	"forme préférée"
"semaineoulipodejuillet"	"Semaine Oulipo de juillet"	"forme préférée"
"semaineperec"	"Semaine Perec"	"forme préférée"
"seminaireaumoulindande"	"Séminaire Andé"	"forme alternative"
"seminaireaumoulindande"	"Séminaire au Moulin d'Andé"	"forme préférée"
"seminairecreatif"	"séminaire créatif au Moulin"	"forme alternative"
"seminairecreatif"	"séminaire créatif Oulipo"	"forme alternative"
"seminairecreatif"	"Séminaire créatif"	"forme préférée"
"seminairede"	"Séminaire de"	"forme alternative"
"seminairede"	"Séminaire"	"forme préférée"
"seminairede"	"Séminaire de"	"forme alternative"
"seminairedelacan"	"Séminaire de Lacan"	"forme préférée"
"seminairedelinguistiquequantitative"	"Séminaire Linguistique quantitative"	"forme alternative"
"seminairedelinguistiquequantitative"	"Séminaire de Linguistique quantitative"	"forme préférée"
"seminairedintoxication"	"Séminaire d'intoxication"	"forme préférée"
"seminaireperec"	"Séminaire Perec"	"forme préférée"
"seminairequeneau"	"Séminaire Queneau"	"forme préférée"
"serres21janvier"	"Stage à Serres"	"forme préférée"
"serres21janvier"	"Serres 21 janvier"	"forme alternative"
"soireeperec"	"Soirée"	"forme alternative"
"soiree"	"Soirée 24"	"forme alternative"
"soireebruxelloise"	"soirée bruxelloise"	"forme alternative"
"soireeoulipienneabruxelles"	"Soirée oulipienne à Bruxelles"	"forme préférée"
"soireeoulipo"	"Soirée Oulipo"	"forme préférée"
"soireeperec"	"Soirée Perec"	"forme préférée"
"soireequeneau"	"Soirée Queneau"	"forme préférée"
"spectacledepoemesroubaud"	"Spectacle de poèmes-Roubaud"	"forme préférée"
"spectaclelectureavilleneuve"	"Spectacle -Lecture à Villeneuve"	"forme préférée"
"spectacleoulipo"	"Spectacle Oulipo"	"forme préférée"
"spectacleperecavilleneuvelesavignon"	"Spectacle Perec à Villeneuve lès Avignon"	"forme préférée"
"spectaclequeneau"	"Spectacle Queneau"	"forme préférée"
"spectacleroubaud"	"Spectacle Roubaud"	"forme préférée"
"spectaclezerki"	"Spectacle Zerki"	"forme préférée"
"stage"	"stage"	"forme alternative"
"stage"	"stage le 10-11 juin"	"forme alternative"
"stage"	"stages"	"forme alternative"
"stage"	"Stage"	"forme préférée"
"stagealamaisondugesteetdelimage"	"Stage à la Maison du Geste et de l'Image"	"forme préférée"
"stagealamo"	"stage alamo"	"forme alternative"
"stagealamo"	"stage Alamo"	"forme alternative"
"stagealamo"	"Stage Alamo"	"forme préférée"
"stageamiens"	"stage d'Amiens"	"forme alternative"
"stageamiens"	"Stage Amiens"	"forme préférée"
"stageavitria"	"Stage à Vitria"	"forme préférée"
"stagedelahaye"	"Stage de La Haye"	"forme préférée"
"stagedepaques"	"Stage de Pâques"	"forme préférée"
"stagederoyaumont"	"Stage de Royaumont"	"forme préférée"
"stagedesaintquentin"	"Stage de Saint-Quentin"	"forme alternative"
"stagedesaintquentin"	"stage de Saint-Quentin"	"forme alternative"
"stagedesaintquentin"	"Stage de Saint Quentin"	"forme préférée"
"stagedete"	"Stage d'été"	"forme préférée"
"stageliege"	"Stage à Liège"	"forme alternative"
"stageliege"	"Stage Liège"	"forme préférée"
"stageoulipo"	"Stage oulipo"	"forme alternative"
"stageoulipo"	"stage oulipo"	"forme alternative"
"stageoulipo"	"stage OULIPO"	"forme alternative"
"stageoulipo"	"stage Oulipo"	"forme alternative"
"stageoulipo"	"Stage Oulipo"	"forme préférée"
"stageoulipoalimoges"	"Limoges"	"forme alternative"
